Código del Prestador,Nombre de la IPS,Dirección,Clase de Prestador,Clase de Persona,coord_x,coord_y
1100108171,CONSULTORIO MÉDICO COLSUBSIDIO PLAZA DE LAS AMERICAS,KR 71 D # 6 94 SUR Local 3505,Instituciones - IPS,Juridica,"-74,13528837035128","4,618916270168504"
1100107335,CONSULTORIO EMPRESARIAL ORQUESTA FILARMONICA DE BOGOTA,CL 39 No. 14 - 46 PI 1,Instituciones - IPS,Juridica,"-74,06870585234674","4,6267870763647725"
1100106024,DINAMICA IPS COLMEDICA MPP CHAPINERO,"AK 7 N° 52-53 CS 3,4",Instituciones - IPS,Juridica,"-74,06333624999104","4,638906090147523"
1100104035,CENTRO MEDICO COLMEDICA SEDE CHAPINERO,CR 7 No. 52-53,Instituciones - IPS,Juridica,"-74,06333624999104","4,638906090147523"
1100115221,APM SERVICIOS ASISTENCIALES IPS SAS,CALLE 49 N 6-63,Instituciones - IPS,Juridica,"-74,06351237907552","4,636087306608089"
1100103155,Sede Ambulatoria,CRA 16 No. 59-54,Instituciones - IPS,Juridica,"-74,06724811301605","4,647156936896981"
1100131159,SEINT SALUD I P S S A S,CR 70 No. 22 SUR 23,Instituciones - IPS,Juridica,"-74,13325991065936","4,6170561270116375"
1100116237,OPTISANITAS SUCURSAL 14 ZONA IN,CALLE 13 # 65 - 21 LOCAL 100-1 PUERTA 2,Instituciones - IPS,Juridica,"-74,11605885371635","4,63426464165194"
1100131205,MEDICAL ENERGY SAS,CALLE 6A N° 70B - 88,Instituciones - IPS,Juridica,"-74,13268767034863","4,630610282924537"
1100123471,CLINICOS Programas de Atención Integral S.A.S IPS,CALE 50 No. 9 - 67 CONSULTORIO 407,Instituciones - IPS,Juridica,"-74,0650620951115","4,636624952918849"
1100109652,FUNDACION PARA LA SALUD LA BIOETICA Y EL MEDIO AMBIENTE FUNSABIAM,Cra 17 No 36 62,Instituciones - IPS,Juridica,"-74,07157090318128","4,625612670266856"
1100117922,ALIANZA EXAMENES EMPRESARIALES OCUPACIONALES Y SERVICIOS MEDICOS LTDA,CR 7 N° 27 - 52 OFICINA 604,Instituciones - IPS,Juridica,"-74,06903346164265","4,614276807359092"
1100100103,INSTITUTO NACIONAL DEL RIÑON LTDA,CLL 43 # 25 - 61,Instituciones - IPS,Juridica,"-74,07680758002778","4,633059050242287"
1100100130,SONRIA DAMA SALUD SEDE GALERIAS,TV 24 # 54 31,Instituciones - IPS,Juridica,"-74,07397032037316","4,644480479604147"
1100100130,SONRIA DAMA SALUD SEDE AV 1 MAYO,AV 1 DE MAYO # 70 B 19 SUR,Instituciones - IPS,Juridica,"-74,13706370994896","4,61565107971981"
1100100203,FUNDACION CEPYTIN,CRA 73 # 7 C 39,Instituciones - IPS,Juridica,"-74,13964785040766","4,636329040219055"
1100100218,SERVICIOS MEDICOS YUNIS TURBAY Y CIA S EN C,Avenida Kra 24 # 42 24 CONSULTORIOS 102 202 302 402 501,Instituciones - IPS,Juridica,"-74,07478573013971","4,632589270174688"
1100100518,OPTICA COLOMBIANA S.A. EXITO AMERICAS,AC 6 No. 68 78 Local 0120B,Instituciones - IPS,Juridica,"-74,12376996965736","4,630456310146464"
1100100661,LITOMEDICA S.A,CRA 13 # 49 40 CONS 620 y Sala de Lithostar PI 2,Instituciones - IPS,Juridica,"-74,06506208972162","4,636624950232704"
1100100670,FUNDACION PARA LA REHABILITACION DE ALCOHOLICOS Y ADICTOS - FUNDAR,KR 16 # 36 22,Instituciones - IPS,Juridica,"-74,07077504973849","4,625085710124952"
1100100732,OPTICA DR MENDEZ SAS,CRA 13 # 42 08,Instituciones - IPS,Juridica,"-74,06658096030567","4,629891419773273"
1100100930,"FUNDACION CENTRO DE INVESTIGACION E INFORMACION EN DEFICIENCIAS AUDITIVAS-""""CINDA""""""",Calle 35 No.17-24,Instituciones - IPS,Juridica,"-74,07236358018126","4,624474779842494"
1100101287,CLINICA MEDICO OFTALMOLOGICA DEL NIÑO Y DEL ADULTO S.A,DG 40 A BIS # 14 79,Instituciones - IPS,Juridica,"-74,06909274955308","4,629100209683038"
1100101435,CENTRO DE ANGIOLOGIA Y CIRUGIA VASCULAR LTDA,KR 13 # 49 40 OF 425,Instituciones - IPS,Juridica,"-74,06506208972162","4,636624950232704"
1100102297,CLINICA ODONTOLOGICA LAS AMERICAS LTDA,KR 71 D No 6 94 SUR LC 35 - 06 y 35 - 07,Instituciones - IPS,Juridica,"-74,13528837035128","4,618916270168504"
1100102317,IMEVI LTDA,CRA 78 No 34 SUR - 32,Instituciones - IPS,Juridica,"-74,1478141597711","4,623694960246132"
1100103020,CENTRO DE EVALUACION MEDICA PORVIDA LIMITADA La sociedad podra usar la sigla CEM PORVIDA,Av. Calle 9 # 50 15 Local C1060,Instituciones - IPS,Juridica,"-74,10786423035346","4,627094959911537"
1100102891,CENTRO UROLOGICO LTDA,CRA 13 # 49 40 CONS 203,Instituciones - IPS,Juridica,"-74,06506208972162","4,636624950232704"
1100103031,NUEVA CLINICA MAGDALENA,CALLE 39 No. 14-34,Instituciones - IPS,Juridica,"-74,0692003497578","4,627057909669885"
1100103863,OPTICA ALEMANA EYH SCHMIDT SA,AC 19 # 9 47,Instituciones - IPS,Juridica,"-74,07366643019401","4,606110419700598"
1100103916,FUNDACION OFTALMOLOGICA NACIONAL,CALLE 50 # 13 50,Instituciones - IPS,Juridica,"-74,0659540503234","4,6374692001506475"
1100103113,PANORAMAX LTDA,CALLE 49 # 9 21,Instituciones - IPS,Juridica,"-74,06490659044762","4,635966840004833"
1100103107,OPTICA APOLO,KR 71 D # 6-94 SUR LC 16-13,Instituciones - IPS,Juridica,"-74,13528837035128","4,618916270168504"
1100103071,CENTRO MEDICO DE ORIENTACION LA GLORIA S.A.S IPS,CALLE 34 # 15 51,Instituciones - IPS,Juridica,"-74,07084194009117","4,623043139764465"
1100103155,ASOCIACION DE AMIGOS CONTRA EL CANCER PROSEGUIR,AC 32 # 15 31,Instituciones - IPS,Juridica,"-74,07137960963648","4,620648920230281"
1100103119,CAJA DE COMPENSACION FAMILIAR DE CUNDINAMARCA COMFACUNDI SEDE CHAPINERO,CALLE 53 NO. 10-39,Instituciones - IPS,Juridica,"-74,0646221802354","4,639828329564405"
1100103266,RADIOTERAPIA ONCOLOGIA MARLY S.A,CRA 9 # 49 22,Instituciones - IPS,Juridica,"-74,0644224299505","4,636393440123517"
1100103270,SERVICIO DE INMUNOANALISIS DE BOGOTA LTDA-SIB LAB LTDA,CALLE 50 # 8 24 CONS 306 307,Instituciones - IPS,Juridica,"-74,06426621022764","4,636893550286231"
1100103389,UNIDAD MEDICA BIOCENTER LTDA,CL 53 B # 24 80 CS 614-615,Instituciones - IPS,Juridica,"-74,07445720007063","4,64327260006569"
1100104014,PMA MARLY,CALLE 50 # 7 36 PI 4,Instituciones - IPS,Juridica,"-74,06397051987042","4,636920239627493"
1100104155,FUNDACION CENTRO DE ESTIMULACION NIVELACION Y DESARROLLO-CEDESNID,CALLE 46 # 27 - 28 /42,Instituciones - IPS,Juridica,"-74,07746003989335","4,636111269559536"
1100104404,UNIDAD MEDICA DIAGNOSTICA ESPINOSA GOMEZ SAS,KR 71 D # 6 - 94 SUR Consultorio 4503,Instituciones - IPS,Juridica,"-74,13528837035128","4,618916270168504"
1100104691,CENTRO MEDICO Y NATURISTA LOS OLIVOS SAS KENNEDY,CRA 78 B # 33 A - 38 SUR PISO 2 Y 3,Instituciones - IPS,Juridica,"-74,14826716040595","4,624552410224525"
1100104857,CAFI PUENTE ARANDA,Avenida Calle 6 No. 49 - 21,Instituciones - IPS,Juridica,"-74,10705640955443","4,625279430426861"
1100104857,CAFI KENNEDY,CL 26 SUR 78 07,Instituciones - IPS,Juridica,"-74,14727246038342","4,6246878998439716"
1100104857,CAFI CALLE 56,Carrera 7 # 55-37,Instituciones - IPS,Juridica,"-74,06251290001568","4,641908290390032"
1100106777,DENTISALUD AMERICAS CON 68,AV DE LAS AMERICAS No 68A-94 LOCAL 2084-162,Instituciones - IPS,Juridica,"-74,12513266004446","4,629509019969137"
1100106725,CEDIT LTDA,CALLE 40 SUR No 73D-12,Instituciones - IPS,Juridica,"-74,15267389993112","4,617408229627944"
1100106913,CENTRO DE REHABILITACION PARA ADULTOS CIEGOS CRAC,AC 8 SUR # 31 A 31,Instituciones - IPS,Juridica,"-74,10840598004681","4,5989213102171345"
1100105213,ORAL SERVICE E U,Calle 17 No 68/84 local 2,Instituciones - IPS,Juridica,"-74,11693064983497","4,6409922102542565"
1100105509,NEUROLOGOS CLINICOS ASOCIADOS CIA LTDA,Kr 36 No 25D-14 cons 401,Instituciones - IPS,Juridica,"-74,08477795964124","4,631326510235546"
1100105464,UNIDAD DE ATENCION PRIMARIA DARSALUD,KR 78 K # 33 A 76 SUR,Instituciones - IPS,Juridica,"-74,15080095029298","4,626486350418221"
1100105262,INMUNOLOGIA Y DIAGNOSTICO ESPECIALIZADO IDE SAS,CRA 9 # 48 40 CONS 402,Instituciones - IPS,Juridica,"-74,06465927975832","4,63552458038286"
1100105597,Centro de Atención en Salud Cafam Calle 51,Kr 15 No. 51 - 35,Instituciones - IPS,Juridica,"-74,06811967018281","4,638939689897959"
1100105597,Centro de Atención en Salud Cafam Clínica,Calle 51 No. 15- 34,Instituciones - IPS,Juridica,"-74,06811967018281","4,638939689897959"
1100105597,Centro de Atención en Salud Cafam Kennedy,CRA 78 K 37 A 53 SUR,Instituciones - IPS,Juridica,"-74,15429278983724","4,6236398703661985"
1100105711,SEDE PRINCIPAL COLCAN,CALLE 49 No. 13 - 60,Instituciones - IPS,Juridica,"-74,06628961959106","4,636634049933528"
1100105711,SEDE CENTRO COLCAN,CL 19 # 10 08 CS 204,Instituciones - IPS,Juridica,"-74,07392611966793","4,607297150300087"
1100106024,DINAMICA IPS CALLE 49,AK 14 No. 49-83 LC 2,Instituciones - IPS,Juridica,"-74,0669376103381","4,63643411972923"
1100105868,UNIDAD MEDICA SANTAFE LTDA - KENNEDY,KR 78 K # 33 A 39 SUR,Instituciones - IPS,Juridica,"-74,1508216402906","4,627103620099689"
1100105944,CLINICA DE ESPECIALISTAS LINEA ORAL LTDA,CALLE 12 SUR # 31 33 PI 1,Instituciones - IPS,Juridica,"-74,1086829899377","4,598263819566355"
1100105725,CLINICA DE NUESTRA SEÑORA DE LA PAZ,CALLE 13 # 68 F 25,Instituciones - IPS,Juridica,"-74,12596866009562","4,63817364008231"
1100106086,IPS COMFASALUD CENTRO,CALLE 17 # 10 16 PI 9,Instituciones - IPS,Juridica,"-74,07506598025384","4,605529619908812"
1100106454,UROSALUD S.A,CRA 13 No 49 40 CONSULTORIO 205,Instituciones - IPS,Juridica,"-74,06506208972162","4,636624950232704"
1100106798,ASOCIACION NUCLEAR DIAGNOSTICA LTDA,KR 23 # 45 C 31 CS 506 y 501,Instituciones - IPS,Juridica,"-74,07449821984144","4,6361588596939365"
1100106205,TOMA DE MUESTRAS LIGA CONTRA EL CANCER,CL 56 # 6 28,Instituciones - IPS,Juridica,"-74,06164231033448","4,641831819625671"
1100106495,ANALIZAR LABORATORIO CLINICO AUTOMATIZADO S.A.S.,CL 50 # 8 27 CS 301,Instituciones - IPS,Juridica,"-74,064355149729","4,636660810019213"
1100106495,ANALIZAR LABORATORIO CLINICO AUTOMATIZADO S.A.S.,KR 22 # 45C 36 OF 301,Instituciones - IPS,Juridica,"-74,07331582043356","4,635890719584548"
1100107411,LABORATORIO CLINICO DE MARLY DANIEL GAMBOA & CIA LTDA,CALLE 50 # 9 67 INT 101,Instituciones - IPS,Juridica,"-74,06506208972162","4,636624950232704"
1100107431,ANESTESIOLOGOS CIRUGIA PALERMO LTDA,CRA 23 # 47 51 CONS 502 N,Instituciones - IPS,Juridica,"-74,07449821984144","4,6361588596939365"
1100107190,INSTITUTO DE REFERENCIA ANDINO S.A.S,CALLE 13 # 60 49 PI 3,Instituciones - IPS,Juridica,"-74,11300875981472","4,632234230196992"
1100107318,IPS CORVESALUD SEDE TEUSAQUILLO,KR 13 N 37-37 PI 2 Y 3,Instituciones - IPS,Juridica,"-74,06761857015438","4,625399690224436"
1100107318,IPS CORVESALUD SEDE KENNEDY,AVENIDA BOYACA No 36 57 SUR,Instituciones - IPS,Juridica,"-74,14086273020128","4,614833030142436"
1100107508,LABORATORIO BIOIMAGEN CMF TEUSAQUILLO,KR 16 # 34 08 1PISO,Instituciones - IPS,Juridica,"-74,07115045030582","4,623378989829484"
1100107308,ORTODONCISTAS ASOCIADOS,Transversal 73D No.39A-31 sur,Instituciones - IPS,Juridica,"-74,15196884011239","4,617498090152453"
1100107521,CLINICA NUEVA,CL 45 F # 16 A 11,Instituciones - IPS,Juridica,"-74,07096126959856","4,634260959855697"
1100107032,INSTITUTO Y LABORATORIO CLINICO LTDA,CALLE 38 # 8 28 LOCAL 1,Instituciones - IPS,Juridica,"-74,06682147973143","4,626034890120236"
1100107335,UNIDAD DE SERVICIOS KENNEDY,TV 78 H # 41 C 48 SUR,Instituciones - IPS,Juridica,"-74,15845564035604","4,615737469889209"
1100107335,UNIDAD DE SERVICIOS CALLE 42,CALLE 42 # 13 19,Instituciones - IPS,Juridica,"-74,06720130000997","4,629629620189595"
1100107564,INSTITUTO DE CIRUGIA OCULAR PALERMO,CALLE 46 # 13 13,Instituciones - IPS,Juridica,"-74,06656832011132","4,633033379697655"
1100108120,GARCIA PEREZ MEDICA Y COMPAÑIA S.A.S- GARPER MEDICA SAS,CL 45 C # 22 02 PI 2,Instituciones - IPS,Juridica,"-74,07388487980985","4,636174339850413"
1100107782,IPS SURA CHAPINERO BOGOTA,CRA 7 # 54 27,Instituciones - IPS,Juridica,"-74,06277503021222","4,640387520123272"
1100107987,FUNDACION CLINICA MEGASALUD,KR 73 D # 35 B 30 SUR,Instituciones - IPS,Juridica,"-74,14734211036067","4,620922330143634"
1100107590,SMILE CENTRE LTDA,CALLE 6 SUR # 71 D 06,Instituciones - IPS,Juridica,"-74,1376313904113","4,618841439973991"
1100107573,Clínicas Odontológicas de la Federación Odontológica Colombiana Seccional Bogotá y Cundinamarca Teusaquillo,CRA 19 # 39 21,Instituciones - IPS,Juridica,"-74,0730113301798","4,627629079862203"
1100107898,COODONTOLOGOS PALERMO,CRA 8 # 45 73,Instituciones - IPS,Juridica,"-74,06496072023168","4,632542219714498"
1100107898,COODONTOLOGOS AMERICAS,AV AMERICAS No. 61-45,Instituciones - IPS,Juridica,"-74,11694690035847","4,627748500283307"
1100107968,FUNDACION FE,CRA 59 B No. 129 - 45,Instituciones - IPS,Juridica,"-74,06590675043043","4,622780729676814"
1100107357,OPTICENTRO INTERNACIONAL SUPERMERCADO CL. 26,CLL 26 NO. 24 34 PIS 2 CONS 1 Y 2,Instituciones - IPS,Juridica,"-74,0773371800069","4,622253319731507"
1100107876,UNIFISIO LTDA,CRA 23 # 45C-31 CONS 609 / 610,Instituciones - IPS,Juridica,"-74,07421589012743","4,636351780078941"
1100108146,FUNDACION UNIVERSITARIA KONRAD LORENZ,Kra 9 N° 61- 38,Instituciones - IPS,Juridica,"-74,06130515015047","4,647019950063363"
1100108222,CLINICA MATERNO INFANTIL EUSALUD,DG 54 # 16 A 16,Instituciones - IPS,Juridica,"-74,06868436015357","4,642465830032938"
1100108184,JUAN BAUTISTA SALUD OCUPACIONAL CIA LTDA,AK 30 No 46 86 / 90,Instituciones - IPS,Juridica,"-74,07877233030145","4,636976079692889"
1100108349,MEDICINA DIAGNOSTICA S.A.,CRA 59 No 26-21 DEPARTAMENTO DE ESCANOGRAFIA Y RESONANCIA -SOTANO,Instituciones - IPS,Juridica,"-74,09750263965825","4,646660570356428"
1100108229,CENTRO ECOGRAFICO CGR Y CIA.,CARRERA 15 No 33 A 21 LC 102,Instituciones - IPS,Juridica,"-74,07069408009035","4,622618340290837"
1100108171,CLINICA COLSUBSIDIO CIUDAD ROMA,CALLE 53 SUR # 79 D 71,Instituciones - IPS,Juridica,"-74,17268153996008","4,615096770157676"
1100108171,CENTRO MEDICO COLSUBSIDIO CALLE 26,CL 26 # 24 52 PI 1 Y 3,Instituciones - IPS,Juridica,"-74,07738489042995","4,622320839572849"
1100108171,CENTRO MEDICO COLSUBSIDIO PUENTE ARANDA,AC 13 # 62 96,Instituciones - IPS,Juridica,"-74,11407407011355","4,634544910274792"
1100108258,INSTITUTO DE ORTOPEDIA INFANTIL ROOSEVELT,CRA 4 ESTE # 17 50 AV CIRCUNVALAR,Instituciones - IPS,Juridica,"-74,06431873023074","4,597794169584346"
1100108572,REDIMED IPS -CENTRO RADIOLOGICO TEUSAQUILLO-,AV CARACAS # 31 B 19,Instituciones - IPS,Juridica,"-74,07077581959467","4,6199954601624045"
1100109015,UNIDAD SOCIAL DE ESPECIALISTAS MEDICOS,CALLE 57 # 18 21,Instituciones - IPS,Juridica,"-74,06952689005853","4,644486500041767"
1100108437,CLINICA DE ORTOPEDIA Y ACCIDENTES LABORALES,Calle 6 A # 70 - 06,Instituciones - IPS,Juridica,"-74,13091696965107","4,630525799943978"
1100108613,MEDIEXPRESS SEDE 2,CALLE 45 A No. 9-31 PRIMER PISO SERVICIO MEDICO,Instituciones - IPS,Juridica,"-74,06563284960873","4,632406460298324"
1100108613,MEDIEXPRESS SEDE 3,CALLE 12 # 1 17 ESTE TORRE A SOTANO SERVICIO MEDICO,Instituciones - IPS,Juridica,"-74,06734119015759","4,597808350421621"
1100108858,MEDICINA NUCLEAR DEL OCCIDENTE LTDA,AV DE LAS AMERICAS # 71 C 29,Instituciones - IPS,Juridica,"-74,13567718995233","4,62937468005086"
1100108953,SORAMA IPS,CRA 42 BIS # 10 49 SUR,Instituciones - IPS,Juridica,"-74,11759640027518","4,604780359736942"
1100108403,RED ORAL,KR 78 B # 33 A 12 SUR,Instituciones - IPS,Juridica,"-74,1481182403931","4,624798189569569"
1100108620,CLINICA ODONTOLOGICA DEL OCCIDENTE,AC 24 # 43 A 84,Instituciones - IPS,Juridica,"-74,0942813295584","4,633314730427294"
1100108798,LABORATORIO ESPECIALIZADO SERVICONTROL LTDA,CALLE 33 A # 14 30 CONS 208,Instituciones - IPS,Juridica,"-74,06998457001768","4,622350160129994"
1100108648,CLINICA SANTO TOMÁS S.A,TRANSV. 3 NO. 51A-46,Instituciones - IPS,Juridica,"-74,06099339971257","4,637311870316484"
1100108952,CLINICA PALERMO,Calle 45 C No. 22-02,Instituciones - IPS,Juridica,"-74,07388487980985","4,636174339850413"
1100108995,ASOCIACION PROBIENESTAR DE LA FAMILIA COLOMBIANA PROFAMILIA,CALLE 34 # 14 52,Instituciones - IPS,Juridica,"-74,06945427025097","4,622747590286238"
1100108995,"ASOCIACION PROBIENESTAR DE LA FAMILIA COLOMBIANA ""PROFAMILIA""",AV 1 DE MAYO # 38 41 SUR,Instituciones - IPS,Juridica,"-74,1163431300796","4,5992610900558075"
1100108972,LIGA CONTRA EL CANCER SECCIONAL BOGOTA,CALLE 56 # 6 28,Instituciones - IPS,Juridica,"-74,06164231033448","4,641831819625671"
1100108930,ORIENTAME SEDE TEUSAQUILLO,CRA 17 # 33 50,Instituciones - IPS,Juridica,"-74,07215874992345","4,6223595402725755"
1100109098,FUNDACION PARA EL DESARROLLO DE LAS CIENCIAS DE LA COMUNICACION SOCIAL FUNDEMOS,CARRERA 16 A No 79 - 94,Instituciones - IPS,Juridica,"-74,06702719033824","4,628202060064382"
1100108679,Sociedad de Cirugía de Bogotá - Hospital de San José,CL 10 No. 18 - 75,Instituciones - IPS,Juridica,"-74,08636193023564","4,603357079855949"
1100109523,VIRREY SOLIS IPS S.A-KENNEDY,KR 78 F # 41 B 06 SUR,Instituciones - IPS,Juridica,"-74,15755239960922","4,61596682972973"
1100109185,CLINICA SANTA CATALINA,KR 17 No. 39B - 04,Instituciones - IPS,Juridica,"-74,07078707009529","4,628904120341889"
1100109409,LABORATORIO DE ORTESIS Y PROTESIS GILETE Y CIA. LIMITADA,Calle 33 A # 13 - 55,Instituciones - IPS,Juridica,"-74,06905845996037","4,621554690280601"
1100109186,ODONTOSANITAS,CRA 21 # 40 77,Instituciones - IPS,Juridica,"-74,07390677983817","4,631173989923602"
1100109186,CLINISANITAS LA SOLEDAD,CL 36 # 28 50 / 28 42,Instituciones - IPS,Juridica,"-74,07756877017871","4,625704119962588"
1100109526,UNIDAD DE RADIOLOGIA PANOREX PALERMO LTDA,CALLE 45 A # 20- 96 cons 201,Instituciones - IPS,Juridica,"-74,07368465970607","4,6342071502942455"
1100113937,BODY HEALTH AND BEAUTY GYM,AV BOYACA # 8 B - 05,Instituciones - IPS,Juridica,"-74,13659150962157","4,638603739776528"
1100109941,UNIDAD RENAL HOSPITAL SAN JOSE,CALLE 10 No. 18-75,Instituciones - IPS,Juridica,"-74,08636193023564","4,603357079855949"
1100109941,UNIDAD RENAL DE LA CLINICA DE OCCIDENTE,AC 6 # 71 C-29,Instituciones - IPS,Juridica,"-74,13567718995233","4,62937468005086"
1100109124,UNIDAD MEDICA BETA SALUD LTDA GALERIAS,Carrera 21 # 52 A 12,Instituciones - IPS,Juridica,"-74,07186986969435","4,641058749667348"
1100109612,CENTRO DE ESPECIALIDADES MEDICO QUIRURGICAS LTDA,CALLE 45 A # 27 20,Instituciones - IPS,Juridica,"-74,07758500004097","4,6349898100828675"
1100109208,FUNDACION SEMILLAS DE VIDA,TV 70 # 9 A 79,Instituciones - IPS,Juridica,"-74,12917134991623","4,636187020165734"
1100109361,CLINICA DE MARLY,CL 50 # 9 67,Instituciones - IPS,Juridica,"-74,06506208972162","4,636624950232704"
1100109361,SERVICIO DE RESONANCIA MAGNETICA,CL 50 # 9 16,Instituciones - IPS,Juridica,"-74,06451880031588","4,637409059640654"
